"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 06:46:21 UTC 2022","Tue Nov 08 06:47:40 UTC 2022","79428","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Tue Nov 08 06:40:43 UTC 2022","Tue Nov 08 06:41:33 UTC 2022","50364","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:41:33 UTC 2022","Tue Nov 08 06:42:44 UTC 2022","70315","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:47:40 UTC 2022","Tue Nov 08 06:49:25 UTC 2022","104621","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:50:45 UTC 2022","Tue Nov 08 06:52:02 UTC 2022","77208","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:44:09 UTC 2022","Tue Nov 08 06:45:01 UTC 2022","51705","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:49:25 UTC 2022","Tue Nov 08 06:50:45 UTC 2022","79693","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:43:25 UTC 2022","Tue Nov 08 06:44:09 UTC 2022","44370","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"skipped","Tue Nov 08 06:52:02 UTC 2022","Tue Nov 08 06:52:10 UTC 2022","8109","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:45:01 UTC 2022","Tue Nov 08 06:46:21 UTC 2022","79780","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Tue Nov 08 06:42:44 UTC 2022","Tue Nov 08 06:43:25 UTC 2022","40836","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
