"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Oct 07 05:50:30 UTC 2022","Fri Oct 07 05:51:34 UTC 2022","63635","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:55:19 UTC 2022","Fri Oct 07 05:56:23 UTC 2022","63926","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:46:27 UTC 2022","Fri Oct 07 05:47:41 UTC 2022","73772","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:52:49 UTC 2022","Fri Oct 07 05:54:12 UTC 2022","83384","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Fri Oct 07 05:48:31 UTC 2022","Fri Oct 07 05:49:14 UTC 2022","43075","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:51:34 UTC 2022","Fri Oct 07 05:52:49 UTC 2022","74644","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:54:13 UTC 2022","Fri Oct 07 05:55:19 UTC 2022","65981","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:47:41 UTC 2022","Fri Oct 07 05:48:30 UTC 2022","49286","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"failed","Fri Oct 07 05:49:55 UTC 2022","Fri Oct 07 05:50:30 UTC 2022","35027","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"skipped","Fri Oct 07 05:56:23 UTC 2022","Fri Oct 07 05:56:35 UTC 2022","12205","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
"passed","Fri Oct 07 05:49:14 UTC 2022","Fri Oct 07 05:49:55 UTC 2022","40855","Tests.API.TT4.User.Lite.FuelPurchase.Automatic.v4","test__scenario__v4_fuel_purchase__generic","","","","SCENARIO: Buy Fuel V4 Prepaid",""
